gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA27027,CTSB,cathepsin B,Unknown,Unknown,Yes
PA27028,CTSC,cathepsin C,dipeptidyl peptidase 1,"DPP1, JPD, PALS, PLS",Yes
PA27029,CTSD,cathepsin D,"ceroid-lipofuscinosis, neuronal 10","CLN10, CPSD",Yes
PA27030,CTSE,cathepsin E,Unknown,Unknown,Yes
PA27031,CTSF,cathepsin F,Unknown,"CATSF, CLN13",Yes
PA27032,CTSG,cathepsin G,Unknown,CG,Yes
PA27033,CTSH,cathepsin H,Unknown,"ACC-4, ACC-5, ACC4, ACC5, CPSB",Yes
PA27034,CTSK,cathepsin K,Unknown,"CTSO, CTSO2, PKND, PYCD",Yes
PA162382890,CTSL,cathepsin L,cathepsin L1,"CTSL1, FLJ31037",Yes
PA162382911,CTSL3P,"cathepsin L family member 3, pseudogene",Unknown,HCTSL-s,Yes
PA27040,CTSO,cathepsin O,Unknown,CTSO1,Yes
PA27041,CTSS,cathepsin S,Unknown,Unknown,Yes
PA27036,CTSV,cathepsin V,cathepsin L2,"CTSL2, CTSU, CTSV",Yes
PA27042,CTSW,cathepsin W,Unknown,Unknown,Yes
PA27043,CTSZ,cathepsin Z,"carboxypeptidase LB, cathepsin B2, cathepsin IV, cathepsin X, cathepsin Y, cathepsin Z1, cysteine-type carboxypeptidase, lysosomal carboxypeptidase B",CTSX,Yes
PA27775,CTTN,cortactin,Unknown,EMS1,Yes
PA26774,CTTNBP2,cortactin binding protein 2,Unknown,"C7orf8, CORTBP2, KIAA1758, Orf4",Yes
PA142672062,CTTNBP2NL,CTTNBP2 N-terminal like,Unknown,DKFZp547A023,Yes
PA165393368,CTU1,cytosolic thiouridylase subunit 1,cytosolic thiouridylase subunit 1 homolog (S. pombe),"ATPBD3, MGC17332, NCS6",Yes
PA165449882,CTU2,cytosolic thiouridylase subunit 2,"Cytoplasmic tRNA 2-thiolation protein 2, cytosolic thiouridylase subunit 2 homolog (S. pombe)","C16orf84, NCS2",Yes
PA134944051,CTXN1,cortexin 1,Unknown,FLJ25968,Yes
PA134951739,CTXN2,cortexin 2,Unknown,Unknown,Yes
PA134959223,CTXN3,cortexin 3,Unknown,Unknown,Yes
PA166180599,CTXND1,cortexin domain containing 1,Unknown,LINC01314,Yes
PA166180600,CTXND2,cortexin domain containing 2,Unknown,Unknown,Yes
PA27044,CUBN,cubilin,"cubilin (intrinsic factor-cobalamin receptor), intrinsic factor-cobalamin receptor","IFCR, MGA1, gp280",Yes
PA134913154,CUEDC1,CUE domain containing 1,Unknown,Unknown,Yes
PA134871975,CUEDC2,CUE domain containing 2,Unknown,"C10orf66, MGC2491",Yes
PA27047,CUL1,cullin 1,Unknown,Unknown,Yes
PA27048,CUL2,cullin 2,Unknown,Unknown,Yes
PA27049,CUL3,cullin 3,Unknown,Unknown,Yes
PA27050,CUL4A,cullin 4A,Unknown,Unknown,Yes
PA27051,CUL4B,cullin 4B,Unknown,Unknown,Yes
PA27052,CUL5,cullin 5,Unknown,VACM-1,Yes
PA134897835,CUL7,cullin 7,Unknown,"KIAA0076, dJ20C7.5",Yes
PA164718328,CUL9,cullin 9,"p53-associated parkin-like cytoplasmic protein, parkin-like cytoplasmic p53 binding protein","H7AP1, KIAA0708, PARC",Yes
PA134928220,CUTA,cutA divalent cation tolerance homolog,cutA divalent cation tolerance homolog (E. coli),"ACHAP, C6orf82",Yes
PA134901980,CUTC,cutC copper transporter,cutC copper transporter homolog (E. coli),CGI-32,Yes
PA162382924,CUX1,cut like homeobox 1,"CUX1 gene Alternatively Spliced Product, cut-like homeobox 1, golgi integral membrane protein 6","CASP, CDP, CDP/Cut, CDP/Cux, CDP1, CUT, CUTL1, CUX, Clox, Cux/CDP, GOLIM6",Yes
PA162382977,CUX2,cut like homeobox 2,cut-like homeobox 2,"CDP2, CUTL2, KIAA0293",Yes
PA134903546,CUZD1,CUB and zona pellucida like domains 1,CUB and zona pellucida-like domains 1,"ERG-1, UO-44",Yes
PA162383026,CWC15,CWC15 spliceosome associated protein homolog,"CWC15 spliceosome associated protein homolog, CWC15 spliceosome-associated protein, CWC15 spliceosome-associated protein homolog (S. cerevisiae)","AD002, C11orf5, Cwf15, HSPC148",Yes
PA164718415,CWC22,CWC22 spliceosome associated protein homolog,"CWC22 spliceosome associated protein homolog, CWC22 spliceosome-associated protein, CWC22 spliceosome-associated protein homolog (S. cerevisiae), functional spliceosome-associated protein b","EIF4GL, KIAA1604, NCM, fSAPb",Yes
PA165431769,CWC25,CWC25 spliceosome associated protein homolog,"CWC25 spliceosome associated protein homolog, CWC25 spliceosome-associated protein homolog (S. cerevisiae)","CCDC49, FLJ20291",Yes
PA35594,CWC27,CWC27 spliceosome associated cyclophilin,"CWC27 spliceosome associated protein homolog, CWC27 spliceosome-associated protein homolog (S. cerevisiae)","NY-CO-10, SDCCAG-10, SDCCAG10",Yes
PA134864340,CWF19L1,CWF19 like cell cycle control factor 1,"""CWF19-like 1, cell cycle control (S. pombe)"", ""human Dbr1 associated ribonuclease 1""","FLJ10998, hDrn1",Yes
PA134914164,CWF19L2,CWF19 like cell cycle control factor 2,"CWF19-like 2, cell cycle control (S. pombe)",FLJ32343,Yes
PA165663488,CWH43,cell wall biogenesis 43 C-terminal homolog,cell wall biogenesis 43 C-terminal homolog (S. cerevisiae),"CWH43-C, FLJ21511, PGAP2IP",Yes
PA35577,CX3CL1,C-X3-C motif chemokine ligand 1,chemokine (C-X3-C motif) ligand 1,"ABCD-3, C3Xkine, CXC3, CXC3C, NTN, SCYD1, fractalkine, neurotactin",Yes
PA27054,CX3CR1,C-X3-C motif chemokine receptor 1,chemokine (C-X3-C motif) receptor 1,"CCRL1, CMKBRL1, CMKDR1, GPR13, V28",Yes
