drug_id,drug_name,generic_names,trade_names,drug_type
PA164764429,tripelennamine,Unknown,"Benzoxale, Cizaron, Dehistin, PBZ, Pbz-Sr, Piribenzil, Pyribenzamin, Pyribenzamine, Pyridbenzamine, Pyrinamine Base, Resistamine, Tonaril, Tripelannamine, Tripelenamine, Tripelennamin, Tripelennamina, Tripelennamine Hcl, Tripellenamine, Triplennamine",Drug
PA451797,triprolidine,Unknown,"Actidil, Myidyl, Triprolidine HCL, Triprolidine Hydrochloride, Venen",Drug
PA164749164,trisalicylate-choline,Unknown,Unknown,Drug
PA166313324,trofinetide,(2S)-2-[[(2S)-1-(2-aminoacetyl)-2-methylpyrrolidine-2-carbonyl]amino]pentanedioic acid,Unknown,Drug
PA451799,troglitazone,Unknown,"Noscal, Prelay, Resulin, Rezulin, Romglizone, Romozin",Drug
PA127840611,troleandomycin,"""Oleandocetine"", ""Oleandomycin triacetate"", ""Oleandomycin triacetyl ester"", ""Oleandomycin, triacetate (ester)"", ""Triacetyloleandomycin""","Cyclamycin, Evramicina, Matromicina, Tao, Treolmicina, Tribiocillina",Drug
PA451802,trometamol,Unknown,Unknown,Drug
PA164749389,tropicamide,Tropicamid,"I-Picamide, Minims Tropicamide, Mydriacyl, Mydriafair, Mydriaticum, Ocu-Tropic, Opticyl, Paremyd, Spectro-Cyl, Tropicacyl",Drug
PA161925594,tropisetron,Unknown,Unknown,Drug
PA164748976,trospium,Trospium,"Sanctura, Spasmex, Spasmoplex, Trosec",Drug
PA164749184,trovafloxacin,"TVFX, Trovafloxacin mesylate",Trovan,Drug
PA166185380,tubastatin A,"N-hydroxy-4-[(2-methyl-1,2,3,4-tetrahydro-5H-pyrido[4,3-b]indol-5-yl)methyl]benzamide",Unknown,Drug
PA152530738,tubercidin,"7-Deazadenosine, 7-deazaadenosine, Antibiotic 155B2T, Antibiotic XK 101-1, Sparsomycin A, TBC, TBN, Toyocamycin, Tubercidine",Unknown,Drug
PA164713364,Tuberculosis diagnostics,Unknown,Unknown,Drug Class
PA164713365,Tuberculosis vaccines,Unknown,Unknown,Drug Class
PA451811,tubocurarine,"D-Tubocurarine, D-Tubocurarine Chloride, Isoquinoline Alkaloid, Tubocurarin, Tubocurarine Chloride, Tubocurarinum","Curare, Delacurarine, Jexin, Tubarine",Drug
PA166225141,tucatinib,Unknown,Unknown,Drug
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Unknown,Unknown,Drug Class
PA164713367,Tumour Detection,Unknown,Unknown,Drug Class
PA166363701,tunodafil,"""2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3H-pyrrolo[2,3-d]pyrimidin-4-one"", ""yonkenafil"", ""youkenafil""",Unknown,Drug
PA164743726,tyloxapol,Macrocyclon,"Alevaire, SuperVent",Drug
PA165958422,tymazoline,pernazene,Thymazen,Drug
PA164713368,Typhoid vaccines,Unknown,Unknown,Drug Class
PA164713369,Typhus (exanthematicus) vaccines,Unknown,Unknown,Drug Class
PA164713370,Tyrosine hydroxylase inhibitors,Unknown,Unknown,Drug Class
PA166320901,ubrogepant,"(3S)-N-[(3S,5S,6R)-6-methyl-2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)piperidin-3-yl]-2-oxospiro[1H-pyrrolo[2,3-b]pyridine-3,6'-5,7-dihydrocyclopenta[b]pyridine]-3'-carboxamide",Ubrelvy,Drug
PA164776753,udenafil,Unknown,Zydena,Drug
PA166208561,ulinastatin,"3-(furan-2-yl)-2,4-dioxaspiro[5.5]undec-9-ene",Unknown,Drug
PA166320341,ulotaront,"1-[(7S)-5,7-dihydro-4H-thieno[2,3-c]pyran-7-yl]-N-methylmethanamine",Unknown,Drug
PA164713371,Ultrasound Contrast Media,Ultrasound contrast media,Unknown,Drug Class
PA166177519,umeclidinium,Unknown,Unknown,Drug
PA166184235,umeclidinium / vilanterol,Unknown,Unknown,Drug
PA166197241,umifenovir,"arbidol, ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-(phenylsulfanylmethyl)indole-3-carboxylate",Unknown,Drug
PA164713373,Unclassified,Unknown,Unknown,Drug Class
PA166189803,upadacitinib,Unknown,Unknown,Drug
PA451830,uracil mustard,Unknown,"Aminouracil Mustard, Chlorethaminacil, Demethyldopan, Desmethyldopan, Haemanthamine, Nordopan, Uracil nitrogen mustard, Uracillost, Uracilmostaza, Uramustin, Uramustine",Drug
PA451831,urea,Unknown,Unknown,Drug
PA130230921,uridine,Unknown,Unknown,Drug
PA166357322,uridine triacetate,"""2',3',5'-tri-O-acetyluridine"", ""Xuriden"", ""[(2R,3R,4R,5R)-3,4-diacetyloxy-5-(2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl acetate""",Vistogard,Drug
PA164713374,Urinary antispasmodics,Unknown,Unknown,Drug Class
PA164713375,Urinary concrement solvents,Unknown,Unknown,Drug Class
PA164713376,Urine Tests,Unknown,Unknown,Drug Class
PA451835,urofollitropin,"FSH-B, FSH-beta, Follicle-stimulating hormone beta subunit, Follitropin beta chain precursor","Fertinex, Fertinex",Drug
PA451836,urokinase,"U-plasminogen activator, Urokinase-type plasminogen activator precursor, uPA, urokinase","Abbokinase, Abbokinase, Kinlytic",Drug
PA164713377,Urologicals,Unknown,Unknown,Drug Class
PA451837,ursodeoxycholic acid,"""(3alpha,5beta,7beta)-3,7-dihydroxycholan-24-oic acid"", ""3,7-Dihydroxycholan-24-oic acid"", ""3-alpha,7-beta-Dihydroxy-5-beta-cholanoic acid"", ""3-alpha,7-beta-Dihydroxycholanic acid"", ""3-alpha,7-beta-Dioxycholanic acid"", ""3alpha,7beta-Dihydroxy-5beta-cholan-24-oic acid"", ""5beta-Cholan-24-oic acid-3alpha,7beta-diol"", ""7-beta-Hydroxylithocholic acid"", ""7beta-Hydroxylithocholic acid"", ""Acide ursodesoxycholique [inn-french]"", ""Acido ursodeossicolico [italian]"", ""Acido ursodeoxicolico [inn-spanish]"", ""Acidum ursodeoxycholicum [inn-latin]"", ""Chenodeoxycholic acid"", ""Iso-ursodeoxycholic acid"", ""UDCS"", ""Ursodesoxycholic acid"", ""Ursodiol""","Actigall, Antigall, Arsacol, Cholit-ursan, Delursan, Destolit, Deursil, Dom-ursodiol c, Litursol, Lyeton, PHL-ursodiol c, PMS-ursodiol c, Peptarom, Solutrat, Ursacol, Urso, Urso 250, Urso DS, Urso forte, Ursobilin, Ursochol, Ursodamor, Ursofalk, Ursolvan",Drug
PA166048654,ustekinumab,Unknown,Unknown,Drug
PA164713378,Vaccines,Unknown,Unknown,Drug Class
PA451839,valaciclovir,"Valaciclovir Hcl, Valaciclovir Hydrochloride, Valacyclover Hydrochloric, Valacyclover Hydrochloride, Valacyclovir, Valacyclovir Hydrochloride, valaciclovir","Valtrex, Zelitrex",Drug
PA166170051,valbenazine,Unknown,Unknown,Drug
PA10226,valdecoxib,valdecoxib,Bextra,Drug
